x,y,nothing
33.37297, -112.06396, 
33.37300, -112.06411, 
33.37302, -112.06426, 
33.37303, -112.06441, 
33.37304, -112.06456, 
33.37306, -112.06470, 
33.37307, -112.06484, 
33.37308, -112.06499, 
33.37309, -112.06514, 
33.37310, -112.06529, 
33.37310, -112.06543, 
33.37311, -112.06558, 
33.37311, -112.06572, 
33.37312, -112.06584, 
33.37313, -112.06594, 
33.37313, -112.06606, 
33.37314, -112.06617, 
33.37315, -112.06633, 
33.37316, -112.06644, 
33.37317, -112.06656, 
33.37318, -112.06668, 
33.37319, -112.06680, 
33.37319, -112.06692, 
33.37320, -112.06705, 
33.37320, -112.06718, 
33.37321, -112.06733, 
33.37321, -112.06746, 
33.37322, -112.06760, 
33.37322, -112.06775, 
33.37322, -112.06790, 
33.37322, -112.06804, 
33.37322, -112.06817, 
33.37322, -112.06832, 
33.37322, -112.06845, 
33.37322, -112.06858, 
33.37321, -112.06872, 
33.37320, -112.06886, 
33.37320, -112.06900, 
33.37320, -112.06914, 
33.37318, -112.06927, 
33.37317, -112.06942, 
33.37317, -112.06956, 
33.37317, -112.06972, 
33.37317, -112.06987, 
33.37316, -112.07003, 
33.37315, -112.07017, 
33.37313, -112.07031, 
33.37311, -112.07045, 
33.37310, -112.07059, 
33.37308, -112.07074, 
33.37306, -112.07090, 
33.37305, -112.07104, 
33.37303, -112.07118, 
33.37300, -112.07133, 
33.37298, -112.07147, 
33.37296, -112.07161, 
33.37293, -112.07176, 
33.37291, -112.07190, 
33.37289, -112.07203, 
33.37287, -112.07216, 
33.37283, -112.07229, 
33.37279, -112.07243, 
33.37277, -112.07256, 
33.37274, -112.07269, 
33.37271, -112.07280, 
33.37268, -112.07291, 
33.37265, -112.07301, 
33.37259, -112.07308, 
33.37249, -112.07311, 
33.37239, -112.07312, 
33.37230, -112.07312, 
33.37229, -112.07322, 
33.37221, -112.07332, 
33.37211, -112.07335, 
33.37200, -112.07336, 
33.37188, -112.07337, 
33.37177, -112.07337, 
33.37166, -112.07336, 
33.37154, -112.07338, 
33.37143, -112.07339, 
33.37132, -112.07340, 
33.37120, -112.07340, 
33.37109, -112.07340, 
33.37098, -112.07340, 
33.37087, -112.07340, 
33.37075, -112.07339, 
33.37065, -112.07338, 
33.37054, -112.07338, 
33.37042, -112.07337, 
33.37030, -112.07338, 
33.37020, -112.07338, 
33.37009, -112.07337, 
33.36997, -112.07338, 
33.36986, -112.07338, 
33.36975, -112.07337, 
33.36964, -112.07337, 
33.36951, -112.07340, 
33.36939, -112.07342, 
33.36929, -112.07340, 
33.36919, -112.07340, 
33.36908, -112.07340, 
33.36897, -112.07339, 
33.36886, -112.07338, 
33.36876, -112.07338, 
33.36865, -112.07337, 
33.36854, -112.07337, 
33.36843, -112.07337, 
33.36833, -112.07336, 
33.36822, -112.07336, 
33.36812, -112.07335, 
33.36801, -112.07335, 
33.36791, -112.07334, 
33.36779, -112.07335, 
33.36769, -112.07334, 
33.36760, -112.07334, 
33.36749, -112.07334, 
33.36738, -112.07335, 
33.36728, -112.07334, 
33.36718, -112.07335, 
33.36709, -112.07335, 
33.36699, -112.07335, 
